CustomerID,Name,Gender,Age,Job,LoginDate,LastUsed,Contact
CU65,Sudha Bhatia,Male,35,Teachers,29-07-2021,05-01-2022,9660803766
CU66,Anup Iyer,Female,80,Retailer,18-09-2018,20-05-2019,6717582528
CU67,Narayan Vaidya,Female,29,Private Employee,25-12-2013,24-09-2014,7597802299
CU68,Amit Pandit,Male,22,Student,09-08-2016,21-03-2017,8887839227
CU69,Aarav Jain,Female,23,Business,28-01-2021,15-01-2022,7936851587
CU70,Rekha Dutta,Female,35,Business,22-10-2020,31-01-2021,6131508776
CU71,Sameer Rao,Female,25,Tourists and Travelers,08-03-2021,08-09-2021,7213231321
CU72,Parvati Dixit,Female,27,Business,03-08-2017,17-03-2018,7140956578
CU73,Ritika Choudhary,Male,28,Teachers,19-06-2017,22-09-2017,9864174526
CU74,Dhruv Mishra,Female,73,Government Employee,10-08-2013,29-11-2013,9156610401
CU75,Suman Chaturvedi,Male,49,Government Employee,05-06-2020,02-01-2021,9249252863
CU76,Aarav Aggarwal,Female,22,Student,18-04-2022,24-03-2023,7447663604
CU77,Ajay Bajpai,Female,46,Business,19-11-2021,11-02-2022,9353344342
CU78,Arjun Iyer,Female,29,Student,13-03-2023,15-11-2023,7496288320
CU79,Charan Gandhi,Male,20,Student,04-03-2015,29-06-2015,7089712941
CU80,Govind Kumar,Female,28,Student,22-04-2013,20-08-2013,6703407350
CU81,Govind Raj,Male,20,Private Employee,21-11-2023,16-12-2023,8396615733
CU82,Aarohi Pandey,Female,22,Business,09-06-2023,21-02-2024,7055423132
CU83,Rajiv Joshi,Male,74,Private Employee,19-06-2019,23-05-2020,7577209764
CU84,Snehal Das,Female,21,Government Employee,03-01-2019,23-10-2019,8721631288
CU85,Pooja Patil,Male,22,Student,28-08-2013,03-09-2013,8198485928
CU86,Suraj Agarwal,Male,21,Teachers,12-12-2016,15-04-2017,8316456820
CU87,Savitri Chaturvedi,Female,28,Tourists and Travelers,26-07-2023,30-12-2023,8058924811
CU88,Keshav Menon,Male,19,Private Employee,12-12-2013,25-05-2014,8700153769
CU89,Suman Saxena,Female,28,Private Employee,03-03-2020,02-08-2020,7090933061
CU90,Kashi Thakur,Female,42,Student,11-11-2018,19-04-2019,6738527828
CU91,Dhruv Sarkar,Female,30,Tourists and Travelers,04-06-2015,25-12-2015,6418660309
CU92,Satyendra Sanghvi,Female,20,Business,16-12-2015,16-11-2016,6201818804
CU93,Kartik Naidu,Female,71,Business,13-06-2023,25-02-2024,8497127110
CU94,Ritu Joshi,Female,24,Private Employee,02-04-2015,26-08-2015,7144619629
CU95,Anita Reddy,Female,81,Delivery,30-01-2016,06-06-2016,7002472160
CU96,Yashoda Lal,Female,32,Teachers,26-02-2022,29-05-2022,9682487394
CU97,Naveen Khanna,Female,44,Tourists and Travelers,16-05-2019,18-06-2019,8336203305
CU98,Siddhi Sharma,Female,45,Teachers,21-04-2015,13-05-2015,6192404370
CU99,Meera Kumar,Female,41,Tourists and Travelers,29-07-2017,30-05-2018,7496117081
CU100,Naveen Joshi,Male,28,Teachers,22-10-2015,04-04-2016,9333519757
CU101,Riya Banerjee,Male,32,Teachers,12-08-2016,11-01-2017,7209022135
CU102,Meera Mahajan,Female,79,Retailer,20-11-2017,24-09-2018,8946518237
CU103,Mohit Nambiar,Female,29,Retailer,03-12-2018,20-06-2019,9375429412
CU104,Rajiv Menon,Female,26,Private Employee,10-09-2013,25-06-2014,7955258209
CU105,Suman Das,Female,22,Private Employee,09-10-2020,12-05-2021,9616161809
CU106,Vidya Singhania,Female,32,Teachers,20-06-2023,12-08-2023,9440726024
CU107,Pranav Naidu,Female,22,Government Employee,12-11-2018,20-07-2019,8535999748
CU108,Pranav Rao,Female,36,Government Employee,07-08-2018,31-03-2019,8785874205
CU109,Alok Kapoor,Female,31,Delivery,22-12-2017,28-11-2018,9126198571
CU110,Shreya Vaidya,Male,18,Student,29-11-2019,05-03-2020,7133828147
CU111,Bhaskar Pillai,Female,23,Student,23-01-2020,22-02-2020,9199423393
CU112,Kalyani Deshmukh,Male,38,Government Employee,25-04-2023,23-12-2023,8194330006
CU113,Diya Kapoor,Female,35,Delivery,01-07-2021,17-04-2022,8534310712
CU114,Ishaan Thakur,Female,21,Government Employee,03-11-2023,05-11-2023,8194933034
CU115,Anita Rao,Male,19,Private Employee,03-05-2023,21-02-2024,6998111141
CU116,Ram Bose,Female,20,Tourists and Travelers,19-10-2015,01-09-2016,6028328116
CU117,Alok Saxena,Male,44,Private Employee,12-03-2016,20-04-2016,9767414735
CU118,Nagesh Ghosh,Female,39,Private Employee,21-06-2018,12-06-2019,6515211031
CU119,Keshav Nath,Female,20,Government Employee,19-08-2014,08-06-2015,8237835611
CU120,Saraswati Deshmukh,Male,35,Teachers,24-04-2016,03-03-2017,9267206817
CU121,Ram Mehta,Female,83,Delivery,15-02-2023,10-01-2024,9564697772
CU122,Maya Lal,Male,22,Tourists and Travelers,14-11-2020,05-10-2021,7827826816
CU123,Aayush Singh,Female,43,Delivery,06-12-2015,04-11-2016,9532442441
CU124,Suman Verma,Male,38,Business,23-01-2014,07-10-2014,6212740134
CU125,Ridhima Mahajan,Male,20,Tourists and Travelers,24-11-2020,16-04-2021,9909862754
CU126,Siddharth Rao,Female,86,Government Employee,07-10-2017,29-04-2018,8300797643
CU127,Rajiv Khan,Female,50,Private Employee,17-03-2018,01-11-2018,6123080446
CU128,Gopal Thakur,Male,22,Tourists and Travelers,09-05-2017,10-12-2017,9313735452
CU129,Ishaan Agarwal,Female,89,Student,16-08-2014,20-09-2014,9073020639
CU130,Ganga Sharma,Female,19,Government Employee,24-01-2014,20-09-2014,8013207170
CU131,Harish Jain,Female,40,Student,26-12-2021,05-01-2022,7578886629
CU132,Nandini Rajput,Male,73,Government Employee,10-01-2019,12-11-2019,9395803055
CU133,Keshav Dewan,Male,39,Tourists and Travelers,06-07-2018,27-04-2019,9070072497
CU134,Rajiv Choudhary,Male,20,Retailer,13-05-2021,20-11-2021,6945292017
CU135,Alok Tiwari,Male,36,Delivery,05-04-2016,05-06-2016,8463123230
CU136,Bhavya Kumar,Male,20,Retailer,18-09-2015,05-11-2015,6984993797
CU137,Vinay Malhotra,Male,30,Teachers,28-03-2013,18-04-2013,8833046121
CU138,Ishaan Shastri,Male,41,Tourists and Travelers,06-12-2019,26-03-2020,9020027226
CU139,Aryan Singh,Male,31,Private Employee,28-07-2017,24-01-2018,9121451782
CU140,Yamini Khan,Male,43,Delivery,19-03-2016,12-10-2016,8533771503
CU141,Rekha Chaturvedi,Female,42,Private Employee,12-08-2018,04-11-2018,8372797974
CU142,Amit Kumar,Male,86,Tourists and Travelers,21-05-2016,01-11-2016,9739833092
CU143,Sandhya Pandey,Female,50,Delivery,21-06-2014,24-02-2015,7549142363
CU144,Swati Joshi,Female,29,Government Employee,07-10-2019,26-09-2020,9291932232
CU145,Rahul Mahajan,Female,19,Private Employee,09-03-2020,29-09-2020,7614132181
CU146,Jagdish Chopra,Male,38,Teachers,06-04-2015,14-06-2015,7938901819
CU147,Varun Naidu,Male,33,Teachers,30-07-2014,04-09-2014,9275443928
CU148,Vinay Aggarwal,Male,43,Student,22-05-2017,21-06-2017,9275585690
CU149,Priya Dev,Male,34,Tourists and Travelers,06-12-2018,23-10-2019,7819673783
CU150,Aarohi Naik,Female,22,Delivery,28-08-2015,28-06-2016,9365095195
CU151,Yamini Raj,Male,36,Delivery,09-03-2021,27-03-2021,6038395980
CU152,Seema Shastri,Male,39,Tourists and Travelers,23-05-2016,04-08-2016,6123853375
CU153,Lakshmi Shetty,Male,20,Student,13-11-2018,10-08-2019,9701152462
CU154,Shankar Mahajan,Male,42,Private Employee,04-06-2018,18-06-2018,9252517788
CU155,Savitri Brahmbhatt,Male,85,Business,12-04-2013,07-10-2013,9024563506
CU156,Sahil Bhat,Female,34,Delivery,13-10-2019,02-06-2020,7082832925
CU157,Neeraj Shastri,Male,25,Government Employee,26-01-2021,25-11-2021,6779009835
CU158,Meera Verma,Female,20,Retailer,29-08-2023,23-08-2024,8057640852
CU159,Neeraj Dev,Male,84,Business,01-03-2020,24-08-2020,6171042709
CU160,Vaibhav Kapoor,Female,20,Private Employee,09-12-2014,19-06-2015,8533947749
CU161,Meera Saxena,Male,35,Delivery,21-07-2019,02-08-2019,8210931123
CU162,Gopal Dixit,Male,38,Private Employee,10-07-2022,23-07-2022,7029377533
CU163,Savitri Das,Female,42,Student,08-10-2016,06-11-2016,8586775087
CU164,Balaji Joshi,Female,74,Private Employee,05-03-2014,15-07-2014,7766073924
CU165,Mohan Mukherjee,Female,82,Tourists and Travelers,21-09-2017,21-02-2018,9222192229
CU166,Meenakshi Mishra,Male,31,Delivery,17-07-2020,05-12-2020,7441092333
CU167,Manoj Malhotra,Female,78,Student,25-11-2014,02-01-2015,7252782596
CU168,Vishnu Chand,Male,81,Tourists and Travelers,16-04-2019,10-10-2019,9163683215
CU169,Shashi Verma,Male,42,Student,18-12-2020,25-07-2021,9548864224
CU170,Tarun Bhat,Female,48,Retailer,13-08-2019,25-02-2020,9674434917
CU171,Nisha Ghosh,Female,48,Tourists and Travelers,17-06-2013,01-06-2014,8257255619
CU172,Savitri Iyer,Male,80,Private Employee,01-04-2019,01-08-2019,9768795590
CU173,Nikhil Lal,Male,80,Delivery,04-07-2016,26-07-2016,8699893776
CU174,Rakesh Bhatia,Female,87,Delivery,30-11-2016,10-06-2017,8511622237
CU175,Meenakshi Bhatnagar,Female,22,Retailer,23-12-2015,09-08-2016,9823569280
CU176,Sneha Iyengar,Female,49,Delivery,28-11-2018,17-02-2019,9976941587
CU177,Rajat Jain,Male,23,Student,11-11-2021,24-07-2022,7287675910
CU178,Sameer Bajpai,Male,38,Delivery,27-09-2014,06-04-2015,8714079478
CU179,Shyam Singh,Male,19,Tourists and Travelers,29-03-2017,07-11-2017,6846431036
CU180,Ridhima Pillai,Male,86,Private Employee,29-07-2014,17-10-2014,8928705755
CU181,Gopal Gupta,Male,19,Tourists and Travelers,02-12-2017,08-03-2018,9225842778
CU182,Aarav Banerjee,Male,49,Delivery,09-05-2018,21-05-2018,6928619700
CU183,Sahil Jain,Female,27,Student,02-03-2023,25-05-2023,9359655091
CU184,Kunal Sarkar,Male,72,Tourists and Travelers,25-04-2015,23-06-2015,9280943365
CU185,Tarun Pillai,Male,41,Tourists and Travelers,06-07-2015,22-02-2016,8207248373
CU186,Urmila Verma,Male,21,Tourists and Travelers,25-02-2014,08-08-2014,8771756925
CU187,Arya Mehta,Female,18,Teachers,01-09-2022,05-06-2023,6035591154
CU188,Simran Malhotra,Male,22,Student,18-05-2023,04-03-2024,9929638602
CU189,Isha Mukherjee,Male,50,Tourists and Travelers,08-02-2015,11-05-2015,9140380001
CU190,Yamini Lal,Female,50,Student,16-10-2016,31-07-2017,7576927239
CU191,Ira Vaidya,Male,87,Tourists and Travelers,07-11-2018,24-02-2019,6932427110
CU192,Pooja Gupta,Male,21,Business,31-01-2014,16-11-2014,9993589474
CU193,Damodar Acharya,Male,18,Retailer,22-06-2014,16-06-2015,9856483445
CU194,Priya Bhatt,Male,26,Delivery,10-07-2020,22-07-2020,7765203530
CU195,Sneha Naidu,Male,37,Delivery,16-08-2021,28-01-2022,6993459624
CU196,Nisha Bhatt,Female,81,Tourists and Travelers,03-09-2023,12-12-2023,7081364947
CU197,Urmila Rao,Female,29,Private Employee,11-06-2022,02-02-2023,7905750355
CU198,Rakesh Mahajan,Female,84,Government Employee,17-04-2019,02-05-2019,9393444042
CU199,Kunal Dutta,Male,33,Teachers,25-03-2023,25-05-2023,9930240662
CU200,Kalyani Nair,Male,43,Delivery,22-03-2018,17-07-2018,8707977160
CU201,Rajesh Banerjee,Male,44,Business,02-06-2017,27-04-2018,6341600286
CU202,Kalyani Naidu,Female,18,Business,09-07-2017,11-03-2018,8958153420
CU203,Bhagwan Mishra,Male,25,Student,05-07-2015,02-07-2016,7663242962
CU204,Nikhil Sanyal,Male,43,Retailer,28-12-2015,16-07-2016,8127760242
CU205,Isha Patil,Female,18,Teachers,31-01-2013,26-01-2014,8159497881
CU206,Siddhi Saxena,Male,45,Tourists and Travelers,18-11-2015,03-12-2015,6174915512
CU207,Neeraj Tripathi,Female,45,Business,13-12-2021,19-11-2022,7106730130
CU208,Damodar Srinivasan,Female,19,Student,06-03-2014,26-10-2014,9353058351
CU209,Ritu Nair,Female,29,Private Employee,29-12-2019,02-04-2020,9499124903
CU210,Saurav Thakur,Male,22,Delivery,19-12-2017,22-12-2017,9336886054
CU211,Amitabh Nambiar,Male,40,Government Employee,09-12-2023,17-11-2024,7907215496
CU212,Rahul Nambiar,Male,42,Delivery,24-09-2022,13-01-2023,8799992134
CU213,Balaji Mahajan,Male,21,Delivery,01-05-2021,19-07-2021,8857239420
CU214,Ishita Saxena,Male,82,Tourists and Travelers,02-11-2015,24-03-2016,9450722342
CU215,Amitabh Nair,Male,25,Private Employee,09-12-2015,31-08-2016,8379819488
CU216,Rohit Jain,Male,39,Retailer,29-04-2023,06-03-2024,6265522623
CU217,Rajesh Bedi,Female,35,Retailer,02-04-2018,10-07-2018,7480536882
CU218,Savitri Patel,Male,76,Business,11-10-2017,23-12-2017,8706653185
CU219,Nikhil Aggarwal,Female,40,Delivery,31-10-2016,25-02-2017,8942877450
CU220,Madhav Tripathi,Male,18,Delivery,09-01-2021,07-12-2021,9447177086
CU221,Shankar Vaidya,Male,19,Business,18-01-2015,14-09-2015,9017651742
CU222,Sandhya Iyer,Male,22,Government Employee,15-07-2022,19-03-2023,7331576892
CU223,Geeta Singhania,Female,23,Private Employee,19-08-2021,23-02-2022,7075341562
CU224,Alok Kulkarni,Female,19,Retailer,15-06-2014,17-01-2015,7494761929
CU225,Anaya Vaidya,Female,43,Delivery,29-05-2016,05-02-2017,9380978827
CU226,Aarav Patwardhan,Female,25,Business,03-07-2017,04-03-2018,6563217920
CU227,Sudha Saxena,Male,26,Delivery,25-06-2022,05-05-2023,8515752675
CU228,Deepak Vaidya,Female,37,Tourists and Travelers,10-11-2019,28-03-2020,6736676131
CU229,Rahul Banerjee,Male,36,Delivery,03-07-2017,12-01-2018,7591873079
CU230,Shankar Chopra,Male,28,Teachers,17-10-2018,04-05-2019,8210486700
CU231,Parvati Dixit,Female,19,Teachers,16-12-2021,22-09-2022,6800515971
CU232,Kashi Rao,Female,42,Student,20-09-2016,06-03-2017,7125587962
CU233,Akshay Thakur,Female,20,Delivery,20-07-2023,02-11-2023,8492534959
CU234,Narayan Lal,Female,71,Government Employee,23-07-2021,27-10-2021,6461930404
CU235,Pooja Bose,Female,38,Government Employee,18-04-2014,07-09-2014,7232671787
CU236,Kanika Sanyal,Female,32,Government Employee,18-08-2017,17-10-2017,8346665165
CU237,Akash Chand,Female,20,Teachers,27-08-2019,25-01-2020,6028588486
CU238,Varun Bhat,Female,27,Delivery,02-01-2015,18-09-2015,8398446091
CU239,Jagdish Lal,Male,18,Government Employee,02-10-2013,24-02-2014,7924728136
CU240,Aarav Bhat,Female,32,Delivery,09-05-2018,28-07-2018,7111952896
CU241,Sita Shetty,Female,19,Business,01-03-2017,02-10-2017,7401669925
CU242,Leela Bedi,Male,22,Retailer,25-10-2013,23-09-2014,8455917578
CU243,Ajay Deshmukh,Female,33,Business,07-03-2018,20-12-2018,6742609622
CU244,Maya Sarkar,Male,22,Teachers,06-03-2014,10-01-2015,6415388604
CU245,Gopal Mahajan,Male,86,Business,13-10-2015,30-06-2016,8795262013
CU246,Pranav Agarwal,Female,81,Student,04-03-2017,11-12-2017,8176239232
CU247,Ananya Rajput,Male,20,Delivery,19-09-2020,08-10-2020,8461382210
CU248,Sanjay Dev,Male,37,Private Employee,17-05-2020,22-01-2021,6869482577
CU249,Anil Desai,Male,40,Business,14-08-2014,28-03-2015,6419898678
CU250,Mohit Gandhi,Male,18,Private Employee,23-01-2020,25-07-2020,9327518905
CU251,Ritu Saxena,Female,31,Government Employee,19-03-2019,18-11-2019,9058855711
CU252,Ira Nair,Male,22,Teachers,03-05-2016,24-03-2017,6170650842
CU253,Anaya Naidu,Female,30,Teachers,06-09-2016,31-01-2017,7488492430
CU254,Pranav Chand,Male,19,Teachers,06-12-2015,17-07-2016,8238790581
CU255,Meera Pandit,Male,20,Business,18-03-2020,11-09-2020,9817442865
CU256,Kamala Singhania,Male,90,Business,06-02-2018,05-11-2018,8063761176
CU257,Saurav Pathak,Male,40,Government Employee,02-05-2013,23-10-2013,7670081060
CU258,Ramesh Thakur,Female,34,Government Employee,27-12-2020,09-12-2021,9290550634
CU259,Mohan Yadav,Female,20,Private Employee,11-01-2020,23-08-2020,8235756648
CU260,Vivaan Rao,Male,50,Teachers,12-05-2022,18-02-2023,7717128690
CU261,Keshav Bhattacharya,Male,49,Private Employee,03-09-2016,13-03-2017,9468471277
CU262,Rajesh Patwardhan,Female,40,Government Employee,01-02-2013,22-08-2013,8582941024
CU263,Omkar Singh,Male,23,Delivery,09-01-2020,11-06-2020,9132677467
CU264,Uma Naidu,Male,19,Retailer,07-04-2013,12-10-2013,7103740107
CU265,Neha Pandit,Male,19,Tourists and Travelers,24-12-2016,07-02-2017,9448295415
CU266,Yash Deshmukh,Female,22,Delivery,15-01-2022,07-01-2023,7631748734
CU267,Shashi Dewan,Female,48,Teachers,05-12-2022,29-09-2023,6281399601
CU268,Abhinav Sarkar,Female,22,Tourists and Travelers,08-12-2017,10-03-2018,8361299618
CU269,Sameer Pillai,Male,75,Retailer,03-12-2015,23-04-2016,7200858309
CU270,Suraj Sanghvi,Male,41,Tourists and Travelers,31-08-2020,10-11-2020,9631854850
CU271,Amit Patil,Female,77,Student,26-09-2016,14-05-2017,6355476946
CU272,Naina Jain,Female,32,Student,16-12-2020,03-10-2021,7650005697
CU273,Ram Nambiar,Female,49,Private Employee,29-11-2018,02-04-2019,7384274290
CU274,Seema Bajpai,Female,35,Retailer,19-09-2023,02-02-2024,9149137013
CU275,Govind Nambiar,Male,21,Teachers,30-06-2013,14-01-2014,8139443465
CU276,Manoj Mehta,Female,36,Business,11-06-2018,14-03-2019,6268596861
CU277,Sita Mahajan,Male,20,Business,02-09-2017,17-08-2018,7117121725
CU278,Bharat Banerjee,Female,20,Retailer,17-09-2017,22-11-2017,6445462846
CU279,Abhinav Malhotra,Male,86,Government Employee,05-07-2016,05-06-2017,8842878051
CU280,Aarohi Ghosh,Female,76,Retailer,02-01-2019,14-11-2019,8143062941
CU281,Simran Srinivasan,Female,48,Government Employee,28-02-2018,06-02-2019,9867041491
CU282,Geeta Choudhary,Female,22,Student,24-10-2018,07-08-2019,8369356725
CU283,Gopal Joshi,Female,22,Business,08-05-2016,10-11-2016,8901821413
CU284,Kamala Rao,Male,22,Business,19-04-2014,05-06-2014,7943784705
CU285,Amitabh Malhotra,Female,37,Tourists and Travelers,17-07-2015,07-02-2016,9276769293
CU286,Padma Naik,Male,21,Delivery,15-02-2019,12-08-2019,7340889577
CU287,Ishaan Shetty,Male,85,Teachers,24-06-2020,06-09-2020,9311870448
CU288,Kanika Pathak,Male,38,Tourists and Travelers,22-10-2015,24-01-2016,8880561985
CU289,Yamini Reddy,Male,45,Government Employee,05-05-2014,12-04-2015,9078618904
CU290,Vikram Sanyal,Female,19,Delivery,05-01-2015,29-09-2015,6508419584
CU291,Pratima Sharma,Male,41,Retailer,14-02-2018,24-10-2018,6128460272
CU292,Bhaskar Bhat,Male,87,Retailer,22-11-2017,09-03-2018,7404025382
CU293,Harish Naik,Male,74,Delivery,12-07-2013,27-12-2013,7722963332
CU294,Sudha Malhotra,Female,47,Private Employee,25-07-2018,19-09-2018,7766838964
CU295,Siddhi Bajpai,Female,21,Government Employee,06-01-2019,20-02-2019,6833324693
CU296,Siddhi Bhatia,Female,40,Retailer,04-09-2021,13-06-2022,9778313790
CU297,Madhav Bajpai,Female,22,Delivery,23-08-2015,19-04-2016,6557063581
CU298,Aditi Pathak,Male,20,Retailer,18-03-2015,20-11-2015,7767653124
CU299,Anita Thakur,Male,36,Student,07-12-2016,05-09-2017,9884167357
CU300,Siddharth Deshmukh,Female,18,Student,23-10-2019,12-05-2020,6765564115
CU301,Pooja Dev,Male,22,Student,20-03-2016,22-07-2016,9624433973
CU302,Snehal Nair,Male,21,Delivery,26-01-2019,08-06-2019,7187901489
CU303,Hemant Khanna,Male,18,Delivery,26-12-2014,13-11-2015,7816182304
CU304,Vaibhav Nair,Female,23,Student,25-02-2020,31-03-2020,6936795330
CU305,Ananya Pillai,Female,37,Tourists and Travelers,18-04-2023,06-09-2023,9968070904
CU306,Yash Deshmukh,Male,45,Government Employee,21-10-2022,16-03-2023,6136913573
CU307,Anjali Singh,Female,35,Tourists and Travelers,08-10-2021,22-07-2022,6774106244
CU308,Lakshmi Sanyal,Female,25,Teachers,09-06-2014,09-02-2015,9297914852
CU309,Akshay Menon,Female,18,Private Employee,29-04-2023,04-04-2024,7460797677
CU310,Nandini Chatterjee,Female,18,Tourists and Travelers,18-11-2015,24-07-2016,9897393894
CU311,Anita Sanyal,Female,48,Retailer,26-01-2017,09-09-2017,9236422055
CU312,Saraswati Naik,Male,21,Delivery,06-06-2014,07-11-2014,9154405874
CU313,Shyam Pandey,Female,74,Business,23-03-2016,06-11-2016,8934563513
CU314,Prakash Reddy,Male,77,Government Employee,09-04-2022,04-11-2022,8740679948
CU315,Suman Singh,Male,18,Student,13-09-2023,23-12-2023,8117038478
CU316,Balaji Bhattacharya,Female,25,Retailer,07-01-2022,03-11-2022,8331455846
CU317,Rahul Gupta,Male,18,Tourists and Travelers,30-06-2021,14-02-2022,9164058724
CU318,Aditi Naidu,Male,79,Student,28-01-2019,01-01-2020,7780449175
CU319,Shivam Reddy,Male,19,Teachers,10-01-2019,19-02-2019,7447412453
CU320,Rakesh Mahajan,Female,21,Business,04-05-2014,14-05-2014,9639658956
CU321,Pooja Patil,Female,70,Government Employee,06-05-2017,13-08-2017,6999493724
CU322,Rohit Raj,Male,75,Tourists and Travelers,17-10-2022,21-11-2022,7439743765
CU323,Bhavya Deshmukh,Female,18,Tourists and Travelers,07-03-2013,01-12-2013,8063955060
CU324,Radha Mukherjee,Female,22,Tourists and Travelers,12-06-2020,14-03-2021,8369289425
CU325,Siddharth Bhatnagar,Female,84,Teachers,16-02-2015,29-09-2015,7647322790
